"Employee compensation by activity"
"Total, % of gross value added, 2015"
"Category","Employee compensation by activity"
"Switzerland",60.1450774996576
"Denmark",59.3653872718268
"France",58.0147763671647
"Germany",57.3829729392143
"Slovenia",56.3691449656317
"Finland",55.9061112054283
"Iceland",55.8123320142676
"Belgium",55.7532836719693
"United States",55.3440603098578
"Canada",55.3015003118244
"Estonia",54.5594820563578
"United Kingdom",54.0962417277637
"Austria",53.3032036979956
"Norway",53.2969900579692
"Netherlands",53.197226316171
"Australia",52.6760396975425
"Sweden",52.4637655908341
"Luxembourg",50.5842940454104
"Latvia",50.4025649263642
"Spain",50.3479674065933
"Portugal",50.0943179998604
"Hungary",49.5410333381818
"Korea",49.3266554799275
"Japan",48.7037930286646
"Israel",48.1813671020896
"New Zealand",47.0110066792669
"Lithuania",46.5229780141684
"Czechia",45.4083070719254
"Italy",43.7877516130181
"Poland",42.5188998029945
"Slovak Rep.",42.1102987278698
"Greece",39.6381216552197
"Türkiye",32.9822412346952
"Ireland",31.6367360695153
"Mexico",27.2920094991087
