"Employee compensation by activity"
"Total, % of gross value added, 2019"
"Category","Employee compensation by activity"
"Switzerland",60.2844817492031
"Iceland",59.543291211286
"Denmark",59.397915101972
"Germany",59.2045785955068
"Slovenia",58.0070909940355
"France",57.2944618671082
"Latvia",56.2448179648668
"Estonia",56.0157335309796
"United States",55.6581148070019
"Luxembourg",55.1990895770723
"Belgium",54.9043948666456
"United Kingdom",54.4938938963015
"Canada",54.3397455229694
"Austria",54.3338974253741
"Norway",54.192826430074
"Finland",54.0308069332484
"Netherlands",53.6400629000221
"Sweden",53.3974711318586
"Portugal",52.3344154415689
"Korea",51.8207023243069
"Japan",51.6768302022244
"Australia",51.4831765700227
"Lithuania",51.4711517636986
"Spain",51.3620078982383
"Czechia",49.4108130327244
"Israel",49.3330469551887
"Hungary",48.9749186990356
"Slovak Rep.",47.64953811767
"New Zealand",47.0113619874536
"Poland",45.5291355682435
"Chile",45.375521626748
"Italy",44.7770202781052
"Greece",42.6061319440802
"Türkiye",34.7911660086297
"Ireland",30.227919272339
"Mexico",26.7395654577592
