"Employee compensation by activity"
"Total, % of gross value added, 2013"
"Category","Employee compensation by activity"
"Denmark",59.528587913212
"Switzerland",59.3817027051931
"France",58.3979396170522
"Belgium",58.0125401531647
"Slovenia",57.3599450075727
"Finland",57.2207858624315
"Germany",57.1296614598065
"Iceland",55.3379446568357
"United Kingdom",54.906590700521
"Netherlands",54.5024500217388
"United States",54.4785052648531
"Sweden",54.0129977281832
"Canada",53.9403343565684
"Austria",53.5330091147583
"Luxembourg",52.2043635379277
"Hungary",51.7116662451254
"Estonia",51.4893163676778
"Australia",51.1440521136536
"Portugal",50.8717944185481
"Spain",50.1214116557334
"Japan",50.1058705308289
"Norway",49.9559141342428
"Korea",48.2620848272607
"Israel",47.8777145107389
"Latvia",47.1636271452264
"Czechia",46.7369509684179
"New Zealand",46.2346612482619
"Italy",43.8545662278353
"Lithuania",43.2364148637753
"Poland",43.1517406803181
"Ireland",42.8087219787395
"Slovak Rep.",40.6609807289359
"Greece",39.0445423993699
"Türkiye",31.6664359552236
"Mexico",27.1897644737994
