"Employee compensation by activity"
"Total, % of gross value added, 2014"
"Category","Employee compensation by activity"
"Switzerland",59.3015790545885
"Denmark",59.2062301063915
"France",58.462197039274
"Belgium",57.1855975222307
"Germany",56.9846318936113
"Slovenia",56.5842814910069
"Finland",56.5764250882798
"Iceland",55.6671958686466
"United States",54.7689224056944
"Netherlands",54.2589953274891
"United Kingdom",53.8826062635443
"Sweden",53.6381441826623
"Canada",53.4580072729142
"Austria",53.4228843592829
"Estonia",52.4462830962283
"Luxembourg",51.9760917460405
"Australia",51.926797413241
"Norway",50.9708478807664
"Portugal",50.5182186048375
"Hungary",50.4835740389534
"Spain",50.3542645196348
"Japan",50.0180032011304
"Korea",48.9514622442068
"Latvia",48.5295732243125
"Israel",48.1076561690707
"New Zealand",46.9103509647148
"Czechia",45.7876402847827
"Lithuania",44.1591675800595
"Italy",43.6412070842716
"Poland",43.2668189235012
"Slovak Rep.",41.441338194726
"Ireland",40.7806873099867
"Greece",39.9641071823857
"Türkiye",32.4728294389781
"Mexico",27.1880029125744
