"Employee compensation by activity"
"Total, % of gross value added, 2017"
"Category","Employee compensation by activity"
"Iceland",60.8002601105647
"Switzerland",60.1797190811129
"Denmark",58.6550761716768
"France",58.6395579164364
"Germany",57.5086088189359
"Slovenia",56.8531971483885
"United States",55.5669212244251
"Belgium",55.2144990999518
"Estonia",54.7375447840064
"United Kingdom",53.8234799899179
"Canada",53.725218851398
"Austria",53.4538811179672
"Finland",53.4257844635092
"Netherlands",53.3307334415614
"Sweden",53.2698018799965
"Latvia",53.1324187990007
"Norway",52.9169967447376
"Luxembourg",52.3762980440655
"Australia",50.8158702150047
"Portugal",50.7522819344827
"Hungary",50.6220856038282
"Spain",49.6927799735245
"Israel",49.5439620919256
"Japan",49.4023237194623
"Korea",49.1010791005484
"Lithuania",48.8699752822088
"Czechia",47.5781580013152
"New Zealand",46.1634752012991
"Slovak Rep.",45.3919049654325
"Poland",44.5734634733787
"Italy",43.9116667280782
"Greece",41.3707890963654
"Türkiye",34.067609021888
"Ireland",32.0461744825947
"Mexico",26.0244253058355
