Employee compensation by activity,
"Total, % of gross value added, 2022",
Category,Employee compensation by activity
Switzerland,60.12115076
Slovenia,59.10823807
France,58.51184577
Iceland,58.06447485
Germany,57.54886273
United Kingdom,55.26914619
Denmark,55.15910184
Estonia,54.73216233
Austria,54.21459516
Luxembourg,54.11774662
Belgium,53.87040782
Portugal,53.7813932
Finland,53.77075167
Canada,53.19790624
Latvia,53.1836096
Netherlands,52.53273133
Spain,52.46656419
Korea,52.11337718
Lithuania,51.16730521
Sweden,51.00115021
Australia,48.91696938
Czechia,48.84053165
Slovak Rep.,47.73187098
Hungary,45.82867896
Italy,44.96656233
Poland,43.03369582
Greece,39.6775982
Norway,38.81545335
Mexico,28.75680814
Türkiye,26.49546215
Ireland,25.29130619
