"Employee compensation by activity"
"Total, % of gross value added, 2016"
"Category","Employee compensation by activity"
"Switzerland",59.906147923134
"Denmark",59.2197803410107
"France",58.257853855438
"Iceland",57.6130707209215
"Germany",57.4937385803717
"Slovenia",56.9975630921503
"Estonia",55.370949991964
"Finland",55.3683682508512
"United States",55.3462830708105
"Belgium",55.154938628924
"Norway",54.7713514746482
"Canada",54.4234858859776
"United Kingdom",54.1867882319131
"Netherlands",53.6504606001033
"Austria",53.3249567522108
"Sweden",53.2824590661084
"Latvia",52.3713284221068
"Australia",50.8528177915646
"Luxembourg",50.586401134109
"Hungary",50.47796696796
"Portugal",50.1338286607324
"Spain",49.8111282073595
"Korea",49.3502660376473
"Japan",49.2780352781087
"Israel",48.8337068729913
"Lithuania",48.6105982307276
"New Zealand",46.6941631791565
"Czechia",46.4129645522686
"Poland",44.1317722134101
"Italy",43.8168139852943
"Slovak Rep.",43.6076611784985
"Greece",41.3885297515711
"Türkiye",36.2637169116823
"Ireland",32.9381467523396
"Mexico",26.7256089594738
