"Employee compensation by activity"
"Total, % of gross value added, 2011"
"Category","Employee compensation by activity"
"Denmark",60.6417939135617
"Slovenia",58.6439876003774
"Switzerland",58.4142601521596
"France",57.8242361852294
"Belgium",57.4724896774927
"Finland",56.2141937138295
"Germany",55.8224456484205
"United Kingdom",55.5274020546741
"United States",54.6920748971532
"Netherlands",54.5362853334653
"Iceland",53.4554090006939
"Canada",53.1201537097393
"Luxembourg",53.0324205305404
"Portugal",52.9389124274793
"Spain",52.3676368722322
"Austria",52.2127646488473
"Sweden",51.7475285815701
"Hungary",51.0651278393883
"Estonia",50.9521286432987
"Japan",50.8165993535108
"Australia",50.7551882319995
"Norway",48.6648901781816
"Israel",48.330512724905
"Korea",47.3441594753291
"New Zealand",47.2873975409836
"Latvia",45.9375359844561
"Czechia",45.7181070200003
"Ireland",44.1512680273789
"Italy",43.9927197086479
"Lithuania",43.5340392395474
"Poland",43.0387070093211
"Greece",41.7166145505228
"Slovak Rep.",40.3272713539297
"Türkiye",30.0279232776342
"Mexico",26.3003782412965
