"Employee compensation by activity"
"Total, % of gross value added, 2018"
"Category","Employee compensation by activity"
"Iceland",62.0654467325803
"Switzerland",59.2282605129052
"Denmark",59.0393853834871
"France",58.595041322314
"Germany",58.4047539911156
"Slovenia",57.1009370240436
"United States",55.4866985608589
"Estonia",55.2544777569375
"Belgium",55.2136417091337
"Latvia",54.9634717181476
"Luxembourg",54.3797994593076
"United Kingdom",54.2603222744077
"Canada",54.0923182963829
"Sweden",53.9888121249344
"Finland",53.9635781985813
"Austria",53.7741920201281
"Netherlands",53.3963201238176
"Portugal",51.6342059078307
"Norway",51.4671858929567
"Japan",50.7982378186232
"Australia",50.4715256481625
"Spain",50.1250206531916
"Israel",50.0852582067077
"Korea",49.992790263585
"Hungary",49.9429919071924
"Lithuania",49.8045255520803
"Czechia",49.2023670483571
"New Zealand",46.5346287636861
"Slovak Rep.",46.3802570844733
"Poland",45.1211693944591
"Italy",44.4758609244401
"Chile",44.3982018322073
"Greece",42.3492376747555
"Türkiye",33.5061132585443
"Ireland",30.5953143151506
"Mexico",26.1198597936252
