"Employee compensation by activity"
"Total, % of gross value added, 2012"
"Category","Employee compensation by activity"
"Denmark",59.7471814573842
"Switzerland",59.0311943309971
"Slovenia",58.7348500336864
"France",58.2488901923667
"Belgium",57.9032690891029
"Finland",57.5091701648614
"Germany",56.9191743044854
"Netherlands",54.8633274381856
"United Kingdom",54.8291014030987
"Iceland",54.7121417237461
"United States",54.6858314267288
"Canada",53.9870898187769
"Sweden",53.5435840495427
"Austria",53.0154464374544
"Hungary",52.7800236097424
"Luxembourg",52.5502005845017
"Australia",51.2492959145332
"Portugal",51.158852709577
"Estonia",51.0777902450046
"Spain",50.762170689117
"Japan",50.5418729506821
"Norway",48.8774701695096
"Israel",48.0897523366684
"Korea",47.8619434504458
"New Zealand",47.7425349707426
"Czechia",46.7649867627896
"Latvia",45.1104512935591
"Italy",44.0716767625279
"Ireland",43.7508948543562
"Lithuania",42.887028941648
"Poland",42.8400437009582
"Greece",40.8383893515338
"Slovak Rep.",40.1240008701459
"Türkiye",31.3893158653428
"Mexico",26.1484271821516
